Source,CH3,,
Second,Volt,,
-0.11178,0.066,,
-0.11176,0.05,,
-0.11174,0.094,,
-0.11172,0.098,,
-0.1117,0.056,,
-0.111679988,0.092,,
-0.11166,0.068,,
-0.11164,0.072,,
-0.11162,0.09,,
-0.1116,0.064,,
-0.11158,0.086,,
-0.11156,0.064,,
-0.11154,0.072,,
-0.11152,0.092,,
-0.1115,0.052,,
-0.11148,0.084,,
-0.11146,0.06,,
-0.11144,0.068,,
-0.11142,0.082,,
-0.1114,0.06,,
-0.11138,0.086,,
-0.11136,0.048,,
-0.11134,0.076,,
-0.11132,0.088,,
-0.1113,0.056,,
-0.11128,0.084,,
-0.11126,0.056,,
-0.11124,0.084,,
-0.11122,0.07,,
-0.1112,0.062,,
-0.11118,0.088,,
-0.11116,0.062,,
-0.11114,0.074,,
-0.11112,0.068,,
-0.1111,0.07,,
-0.11108,0.08,,
-0.111059988,0.064,,
-0.11104,0.072,,
-0.11102,0.07,,
-0.111,0.074,,
-0.11098,0.066,,
-0.11096,0.068,,
-0.11094,0.08,,
-0.11092,0.062,,
-0.1109,0.066,,
-0.11088,0.07,,
-0.11086,0.066,,
-0.11084,0.068,,
-0.11082,0.056,,
-0.1108,0.058,,
-0.11078,0.074,,
-0.11076,0.06,,
-0.11074,0.07,,
-0.110719988,0.064,,
-0.1107,0.07,,
-0.11068,0.07,,
-0.11066,0.066,,
-0.11064,0.066,,
-0.11062,0.076,,
-0.1106,0.078,,
-0.11058,0.064,,
-0.11056,0.07,,
-0.11054,0.078,,
-0.11052,0.066,,
-0.1105,0.076,,
-0.11048,0.072,,
-0.11046,0.07,,
-0.11044,0.074,,
-0.11042,0.068,,
-0.1104,0.064,,
-0.11038,0.072,,
-0.11036,0.058,,
-0.11034,0.066,,
-0.11032,0.066,,
-0.1103,0.072,,
-0.11028,0.062,,
-0.11026,0.068,,
-0.11024,0.066,,
-0.11022,0.06,,
-0.1102,0.064,,
-0.11018,0.054,,
-0.11016,0.062,,
-0.11014,0.062,,
-0.11012,0.064,,
-0.110099988,0.062,,
-0.11008,0.058,,
-0.11006,0.068,,
-0.11004,0.054,,
-0.11002,0.076,,
-0.11,0.05,,
-0.10998,0.058,,
-0.10996,0.07,,
-0.10994,0.056,,
-0.10992,0.074,,
-0.1099,0.05,,
-0.10988,0.066,,
-0.10986,0.062,,
-0.10984,0.06,,
-0.10982,0.064,,
-0.1098,0.06,,
-0.10978,0.058,,
-0.10976,0.054,,
-0.10974,0.056,,
-0.10972,0.056,,
-0.1097,0.054,,
-0.10968,0.06,,
-0.10966,0.07,,
-0.10964,0.058,,
-0.10962,0.068,,
-0.1096,0.068,,
-0.10958,0.058,,
-0.10956,0.066,,
-0.10954,0.048,,
-0.10952,0.074,,
-0.1095,0.052,,
-0.109479988,0.058,,
-0.10946,0.07,,
-0.10944,0.054,,
-0.10942,0.066,,
-0.1094,0.046,,
-0.10938,0.064,,
-0.10936,0.04,,
-0.10934,0.036,,
-0.10932,0.058,,
-0.1093,0.042,,
-0.10928,0.06,,
-0.10926,0.032,,
-0.10924,0.062,,
-0.10922,0.066,,
-0.1092,0.044,,
-0.10918,0.06,,
-0.10916,0.05,,
-0.10914,0.058,,
-0.10912,0.046,,
-0.1091,0.048,,
-0.10908,0.058,,
-0.10906,0.044,,
-0.10904,0.056,,
-0.10902,0.058,,
-0.109,0.054,,
-0.10898,0.054,,
-0.10896,0.05,,
-0.10894,0.052,,
-0.10892,0.054,,
-0.1089,0.04,,
-0.10888,0.056,,
-0.10886,0.04,,
-0.10884,0.042,,
-0.10882,0.062,,
-0.1088,0.04,,
-0.10878,0.058,,
-0.10876,0.036,,
-0.10874,0.052,,
-0.10872,0.04,,
-0.1087,0.03,,
-0.10868,0.054,,
-0.10866,0.038,,
-0.10864,0.05,,
-0.10862,0.032,,
-0.1086,0.052,,
-0.10858,0.06,,
-0.10856,0.032,,
-0.10854,0.05,,
-0.108519988,0.036,,
-0.1085,0.044,,
-0.10848,0.036,,
-0.10846,0.046,,
-0.10844,0.05,,
-0.10842,0.038,,
-0.1084,0.046,,
-0.10838,0.046,,
-0.10836,0.052,,
-0.10834,0.038,,
-0.10832,0.044,,
-0.1083,0.046,,
-0.10828,0.044,,
-0.10826,0.044,,
-0.10824,0.04,,
-0.10822,0.046,,
-0.1082,0.04,,
-0.10818,0.058,,
-0.10816,0.044,,
-0.10814,0.052,,
-0.10812,0.046,,
-0.1081,0.048,,
-0.10808,0.32,,
-0.10806,0.106,,
-0.10804,0.02,,
-0.10802,-0.004,,
-0.108,0.026,,
-0.10798,-0.002,,
-0.10796,0.014,,
-0.10794,0.012,,
-0.10792,-0.002,,
-0.107899988,0.018,,
-0.10788,-0.004,,
-0.10786,0.002,,
-0.10784,-0.004,,
-0.10782,0.004,,
-0.1078,0.006,,
-0.10778,-0.002,,
-0.10776,0.008,,
-0.10774,0.006,,
-0.10772,0.014,,
-0.1077,0.002,,
-0.10768,0.004,,
-0.10766,0.016,,
-0.10764,0,,
-0.10762,0.01,,
-0.1076,0.01,,
-0.10758,0,,
-0.10756,0.014,,
-0.10754,0.006,,
-0.10752,0.01,,
-0.1075,0.006,,
-0.10748,0,,
-0.10746,0.01,,
-0.10744,0.004,,
-0.10742,0,,
-0.1074,-0.002,,
-0.10738,0.006,,
-0.10736,0.02,,
-0.10734,0,,
-0.10732,0.008,,
-0.1073,0,,
-0.107279988,0.04,,
-0.10726,0.002,,
-0.10724,-0.01,,
-0.10722,0.004,,
-0.1072,0.002,,
-0.10718,0,,
-0.10716,0.002,,
-0.10714,-0.006,,
-0.10712,0.012,,
-0.1071,0.002,,
-0.10708,0.004,,
-0.10706,0.008,,
-0.10704,0.008,,
-0.10702,0.016,,
-0.107,0.004,,
-0.10698,0.01,,
-0.10696,0.012,,
-0.10694,-0.004,,
-0.10692,0.014,,
-0.1069,-0.006,,
-0.10688,0.012,,
-0.10686,0.004,,
-0.10684,-0.008,,
-0.10682,0.018,,
-0.1068,0.002,,
-0.10678,0.016,,
-0.10676,0.002,,
-0.10674,0.012,,
-0.10672,0.02,,
-0.1067,-0.002,,
-0.10668,0.008,,
-0.10666,-0.008,,
-0.10664,0.012,,
-0.10662,-0.002,,
-0.1066,-0.004,,
-0.10658,0.032,,
-0.10656,-0.018,,
-0.10654,0.018,,
-0.10652,-0.012,,
-0.1065,0.012,,
