Source,CH3
Second,Volt
-0.05992999375,0.17400,
-0.05992000000,0.18400,
-0.05991000000,0.19200,
-0.05990000000,0.15400,
-0.05989000000,0.17200,
-0.05988000000,0.17200,
-0.05987000000,0.16800,
-0.05986000000,0.18200,
-0.05985000000,0.16000,
-0.05984000000,0.15400,
-0.05983000000,0.16400,
-0.05982000000,0.17200,
-0.05981000000,0.15000,
-0.05980000000,0.15600,
-0.05979000000,0.16000,
-0.05978000000,0.17600,
-0.05977000000,0.14600,
-0.05975999375,0.15000,
-0.05975000000,0.15600,
-0.05974000000,0.14200,
-0.05973000000,0.17000,
-0.05972000000,0.16000,
-0.05971000000,0.14400,
-0.05970000000,0.14400,
-0.05969000000,0.15600,
-0.05968000000,0.16000,
-0.05967000000,0.13600,
-0.05966000000,0.13800,
-0.05965000000,0.15400,
-0.05964000000,0.15000,
-0.05963000000,0.13600,
-0.05961999375,0.14600,
-0.05961000000,0.12800,
-0.05960000000,0.14200,
-0.05959000000,0.14600,
-0.05958000000,0.14400,
-0.05957000000,0.13000,
-0.05956000000,0.14000,
-0.05955000000,0.15000,
-0.05954000000,0.12800,
-0.05953000000,0.12200,
-0.05952000000,0.13200,
-0.05951000000,0.14000,
-0.05950000000,0.12800,
-0.05949000000,0.14000,
-0.05948000000,0.12000,
-0.05947000000,0.11800,
-0.05946000000,0.12600,
-0.05944999375,0.13800,
-0.05944000000,0.12400,
-0.05943000000,0.11400,
-0.05942000000,0.13600,
-0.05941000000,0.11800,
-0.05940000000,0.12400,
-0.05939000000,0.11000,
-0.05938000000,0.11800,
-0.05937000000,0.11600,
-0.05936000000,0.12400,
-0.05935000000,0.12200,
-0.05934000000,0.10800,
-0.05933000000,0.10800,
-0.05932000000,0.12000,
-0.05930999375,0.11800,
-0.05930000000,0.09800,
-0.05929000000,0.11400,
-0.05928000000,0.11200,
-0.05927000000,0.11800,
-0.05926000000,0.10200,
-0.05925000000,0.10800,
-0.05924000000,0.10200,
-0.05923000000,0.10600,
-0.05922000000,0.11800,
-0.05921000000,0.11200,
-0.05920000000,0.09600,
-0.05919000000,0.10200,
-0.05918000000,0.10600,
-0.05917000000,0.10400,
-0.05916000000,0.09200,
-0.05915000000,0.10600,
-0.05913999375,0.10800,
-0.05913000000,0.09600,
-0.05912000000,0.09600,
-0.05911000000,0.10600,
-0.05910000000,0.08800,
-0.05909000000,0.10600,
-0.05908000000,0.09800,
-0.05907000000,0.10000,
-0.05906000000,0.08600,
-0.05905000000,0.10000,
-0.05904000000,0.10800,
-0.05903000000,0.08000,
-0.05902000000,0.09400,
-0.05901000000,0.09000,
-0.05900000000,0.09200,
-0.05899000000,0.08600,
-0.05898000000,0.09800,
-0.05896999375,0.08800,
-0.05896000000,0.09400,
-0.05895000000,0.08800,
-0.05894000000,0.09200,
-0.05893000000,0.08800,
-0.05892000000,0.09200,
-0.05891000000,0.09400,
-0.05890000000,0.08200,
-0.05889000000,0.08400,
-0.05888000000,0.08400,
-0.05887000000,0.08000,
-0.05886000000,0.08000,
-0.05885000000,0.08200,
-0.05884000000,0.07600,
-0.05882999375,0.07600,
-0.05882000000,0.07600,
-0.05881000000,0.08400,
-0.05880000000,0.08000,
-0.05879000000,0.07400,
-0.05878000000,0.08600,
-0.05877000000,0.07400,
-0.05876000000,0.08200,
-0.05875000000,0.08400,
-0.05874000000,0.08600,
-0.05873000000,0.08000,
-0.05872000000,0.08600,
-0.05871000000,0.08400,
-0.05870000000,0.08600,
-0.05869000000,0.07600,
-0.05868000000,0.08000,
-0.05867000000,0.07400,
-0.05865999375,0.06000,
-0.05865000000,0.06400,
-0.05864000000,0.06400,
