Source,CH3
Second,Volt
-0.11612000000,0.01600,
-0.11610000000,-0.00200,
-0.11607998750,-0.01400,
-0.11606000000,0.01400,
-0.11604000000,-0.00600,
-0.11602000000,0.01000,
-0.11600000000,-0.01000,
-0.11598000000,0.01000,
-0.11596000000,0.01600,
-0.11594000000,-0.01000,
-0.11592000000,0.01000,
-0.11590000000,-0.00800,
-0.11588000000,0.02400,
-0.11586000000,0.00200,
-0.11584000000,-0.00400,
-0.11582000000,0.03200,
-0.11580000000,-0.00600,
-0.11578000000,0.01200,
-0.11576000000,-0.00200,
-0.11574000000,0.00400,
-0.11572000000,0.01400,
-0.11570000000,-0.01000,
-0.11568000000,0.01800,
-0.11566000000,0.00,
-0.11564000000,0.01000,
-0.11562000000,0.01200,
-0.11560000000,-0.00200,
-0.11558000000,0.02200,
-0.11556000000,-0.00400,
-0.11554000000,0.01000,
-0.11552000000,0.01400,
-0.11550000000,-0.01200,
-0.11548000000,0.05000,
-0.11545998750,-0.01200,
-0.11544000000,0.01400,
-0.11542000000,0.00800,
-0.11540000000,-0.00200,
-0.11538000000,0.02200,
-0.11536000000,-0.01600,
-0.11534000000,0.01000,
-0.11532000000,0.00600,
-0.11530000000,0.00200,
-0.11528000000,0.01000,
-0.11526000000,-0.01000,
-0.11524000000,0.02200,
-0.11522000000,0.00400,
-0.11520000000,0.00200,
-0.11518000000,0.02000,
-0.11516000000,0.00,
-0.11514000000,0.00800,
-0.11511998750,0.00200,
-0.11510000000,0.00400,
-0.11508000000,0.01200,
-0.11506000000,0.00,
-0.11504000000,0.02400,
-0.11502000000,0.00,
-0.11500000000,0.00,
-0.11498000000,0.01400,
-0.11496000000,0.00600,
-0.11494000000,0.02400,
-0.11492000000,0.00200,
-0.11490000000,0.01400,
-0.11488000000,0.00200,
-0.11486000000,-0.01200,
-0.11483998750,0.01200,
-0.11482000000,-0.01400,
-0.11480000000,0.02000,
-0.11478000000,-0.02400,
-0.11476000000,0.01200,
-0.11474000000,0.01600,
-0.11472000000,-0.01400,
-0.11470000000,0.01600,
-0.11468000000,-0.01600,
-0.11466000000,0.03200,
-0.11464000000,-0.00200,
-0.11462000000,-0.01000,
-0.11460000000,0.02200,
-0.11458000000,-0.00400,
-0.11456000000,0.02000,
-0.11454000000,0.00200,
-0.11452000000,0.00200,
-0.11449998750,0.02400,
-0.11448000000,-0.00200,
-0.11446000000,0.01000,
-0.11444000000,0.00600,
-0.11442000000,0.00800,
-0.11440000000,0.00200,
-0.11438000000,-0.00400,
-0.11436000000,0.01200,
-0.11434000000,-0.00800,
-0.11432000000,0.00800,
-0.11430000000,-0.00200,
-0.11428000000,0.00800,
-0.11426000000,0.01600,
-0.11424000000,-0.01200,
-0.11422000000,0.00200,
-0.11420000000,0.00600,
-0.11418000000,-0.00600,
-0.11416000000,0.01200,
-0.11414000000,-0.01000,
-0.11412000000,0.01400,
-0.11410000000,0.00800,
-0.11408000000,0.00200,
-0.11406000000,0.00800,
-0.11404000000,0.00400,
-0.11402000000,0.02000,
-0.11400000000,-0.00400,
-0.11398000000,0.00600,
-0.11396000000,0.00800,
-0.11394000000,0.00,
-0.11392000000,0.01200,
-0.11390000000,0.00,
-0.11387998750,0.01200,
-0.11386000000,0.01000,
-0.11384000000,-0.01000,
-0.11382000000,0.00400,
-0.11380000000,0.00,
-0.11378000000,-0.00400,
-0.11376000000,0.00200,
-0.11374000000,0.00,
-0.11372000000,0.01600,
-0.11370000000,-0.00400,
-0.11368000000,0.00800,
-0.11366000000,0.01600,
-0.11364000000,-0.00200,
-0.11362000000,0.01200,
-0.11360000000,-0.01400,
-0.11358000000,0.01400,
-0.11356000000,-0.00600,
-0.11354000000,-0.00600,
-0.11352000000,0.01800,
-0.11350000000,-0.00400,
-0.11348000000,0.01400,
-0.11346000000,0.00,
-0.11344000000,0.01800,
-0.11342000000,0.00,
-0.11340000000,-0.00400,
-0.11338000000,0.01600,
-0.11336000000,0.00200,
-0.11334000000,0.00400,
-0.11332000000,-0.00400,
-0.11330000000,0.01000,
-0.11328000000,0.01400,
-0.11325998750,0.00200,
-0.11324000000,0.00400,
-0.11322000000,0.01200,
-0.11320000000,0.00600,
-0.11318000000,0.00400,
-0.11316000000,0.00600,
-0.11314000000,-0.01600,
-0.11312000000,0.00600,
-0.11310000000,-0.00800,
-0.11308000000,0.02200,
-0.11306000000,0.00200,
-0.11304000000,0.01000,
-0.11302000000,0.02400,
-0.11300000000,-0.00600,
-0.11298000000,0.00800,
-0.11296000000,-0.00600,
-0.11294000000,0.01800,
-0.11291998750,-0.01000,
-0.11290000000,-0.01200,
-0.11288000000,0.01800,
-0.11286000000,-0.00600,
-0.11284000000,0.01800,
-0.11282000000,-0.00400,
-0.11280000000,0.02400,
-0.11278000000,-0.00400,
-0.11276000000,-0.00800,
-0.11274000000,0.01400,
-0.11272000000,0.00400,
-0.11270000000,0.00800,
-0.11268000000,-0.01400,
-0.11266000000,0.01800,
-0.11264000000,0.02600,
-0.11262000000,-0.00400,
-0.11260000000,0.01000,
-0.11258000000,0.00400,
-0.11256000000,0.02200,
-0.11254000000,0.00400,
-0.11252000000,0.00200,
-0.11250000000,-0.01600,
-0.11248000000,0.00400,
-0.11246000000,-0.00200,
-0.11244000000,0.01200,
-0.11242000000,0.00200,
-0.11240000000,0.01000,
-0.11238000000,0.01200,
-0.11236000000,0.00400,
-0.11234000000,0.01000,
-0.11232000000,-0.00600,
